,model_path,seed
0,results/models/policy_gradient__2020-11-25_19-25-24,200.0
1,results/models/policy_gradient__2020-11-25_21-22-46,232.0
2,results/models/policy_gradient__2020-11-25_23-19-21,264.0
3,results/models/policy_gradient__2020-11-26_01-05-27,296.0
4,results/models/policy_gradient__2020-11-26_12-14-07,328.0
5,results/models/policy_gradient__2020-11-26_14-19-15,360.0
6,results/models/policy_gradient__2020-11-26_17-31-02,392.0
7,results/models/policy_gradient__2020-11-26_20-03-25,424.0
8,results/models/policy_gradient__2020-11-26_21-42-03,456.0
9,results/models/policy_gradient__2020-11-26_23-21-52,488.0
10,results/models/policy_gradient__2020-11-25_19-25-24,200.0
11,results/models/policy_gradient__2020-11-25_21-22-46,232.0
12,results/models/policy_gradient__2020-11-25_23-19-21,264.0
13,results/models/policy_gradient__2020-11-26_01-05-27,296.0
14,results/models/policy_gradient__2020-11-26_12-14-07,328.0
15,results/models/policy_gradient__2020-11-26_14-19-15,360.0
16,results/models/policy_gradient__2020-11-26_17-31-02,392.0
17,results/models/policy_gradient__2020-11-26_20-03-25,424.0
18,results/models/policy_gradient__2020-11-26_21-42-03,456.0
19,results/models/policy_gradient__2020-11-26_23-21-52,488.0
20,results/models/policy_gradient__2020-11-25_19-25-24,200.0
21,results/models/policy_gradient__2020-11-25_21-22-46,232.0
22,results/models/policy_gradient__2020-11-25_23-19-21,264.0
23,results/models/policy_gradient__2020-11-26_01-05-27,296.0
24,results/models/policy_gradient__2020-11-26_12-14-07,328.0
25,results/models/policy_gradient__2020-11-26_14-19-15,360.0
26,results/models/policy_gradient__2020-11-26_17-31-02,392.0
27,results/models/policy_gradient__2020-11-26_20-03-25,424.0
28,results/models/policy_gradient__2020-11-26_21-42-03,456.0
29,results/models/policy_gradient__2020-11-26_23-21-52,488.0
30,results/models/policy_gradient__2020-11-25_19-25-24,200.0
31,results/models/policy_gradient__2020-11-25_21-22-46,232.0
32,results/models/policy_gradient__2020-11-25_23-19-21,264.0
33,results/models/policy_gradient__2020-11-26_01-05-27,296.0
34,results/models/policy_gradient__2020-11-26_12-14-07,328.0
35,results/models/policy_gradient__2020-11-26_14-19-15,360.0
36,results/models/policy_gradient__2020-11-26_17-31-02,392.0
37,results/models/policy_gradient__2020-11-26_20-03-25,424.0
38,results/models/policy_gradient__2020-11-26_21-42-03,456.0
39,results/models/policy_gradient__2020-11-26_23-21-52,488.0
40,results/models/policy_gradient__2020-11-25_19-25-24,200.0
41,results/models/policy_gradient__2020-11-25_21-22-46,232.0
42,results/models/policy_gradient__2020-11-25_23-19-21,264.0
43,results/models/policy_gradient__2020-11-26_01-05-27,296.0
44,results/models/policy_gradient__2020-11-26_12-14-07,328.0
45,results/models/policy_gradient__2020-11-26_14-19-15,360.0
46,results/models/policy_gradient__2020-11-26_17-31-02,392.0
47,results/models/policy_gradient__2020-11-26_20-03-25,424.0
48,results/models/policy_gradient__2020-11-26_21-42-03,456.0
49,results/models/policy_gradient__2020-11-26_23-21-52,488.0
50,results/models/policy_gradient__2020-11-25_19-25-24,200.0
51,results/models/policy_gradient__2020-11-25_21-22-46,232.0
52,results/models/policy_gradient__2020-11-25_23-19-21,264.0
53,results/models/policy_gradient__2020-11-26_01-05-27,296.0
54,results/models/policy_gradient__2020-11-26_12-14-07,328.0
55,results/models/policy_gradient__2020-11-26_14-19-15,360.0
56,results/models/policy_gradient__2020-11-26_17-31-02,392.0
57,results/models/policy_gradient__2020-11-26_20-03-25,424.0
58,results/models/policy_gradient__2020-11-26_21-42-03,456.0
59,results/models/policy_gradient__2020-11-26_23-21-52,488.0
60,results/models/policy_gradient__2020-11-25_19-25-24,200.0
61,results/models/policy_gradient__2020-11-25_21-22-46,232.0
62,results/models/policy_gradient__2020-11-25_23-19-21,264.0
63,results/models/policy_gradient__2020-11-26_01-05-27,296.0
64,results/models/policy_gradient__2020-11-26_12-14-07,328.0
65,results/models/policy_gradient__2020-11-26_14-19-15,360.0
66,results/models/policy_gradient__2020-11-26_17-31-02,392.0
67,results/models/policy_gradient__2020-11-26_20-03-25,424.0
68,results/models/policy_gradient__2020-11-26_21-42-03,456.0
69,results/models/policy_gradient__2020-11-26_23-21-52,488.0
70,results/models/policy_gradient__2020-11-25_19-25-24,200.0
71,results/models/policy_gradient__2020-11-25_21-22-46,232.0
72,results/models/policy_gradient__2020-11-25_23-19-21,264.0
73,results/models/policy_gradient__2020-11-26_01-05-27,296.0
74,results/models/policy_gradient__2020-11-26_12-14-07,328.0
75,results/models/policy_gradient__2020-11-26_14-19-15,360.0
76,results/models/policy_gradient__2020-11-26_17-31-02,392.0
77,results/models/policy_gradient__2020-11-26_20-03-25,424.0
78,results/models/policy_gradient__2020-11-26_21-42-03,456.0
79,results/models/policy_gradient__2020-11-26_23-21-52,488.0
80,results/models/policy_gradient__2020-11-25_19-25-24,200.0
81,results/models/policy_gradient__2020-11-25_21-22-46,232.0
82,results/models/policy_gradient__2020-11-25_23-19-21,264.0
83,results/models/policy_gradient__2020-11-26_01-05-27,296.0
84,results/models/policy_gradient__2020-11-26_12-14-07,328.0
85,results/models/policy_gradient__2020-11-26_14-19-15,360.0
86,results/models/policy_gradient__2020-11-26_17-31-02,392.0
87,results/models/policy_gradient__2020-11-26_20-03-25,424.0
88,results/models/policy_gradient__2020-11-26_21-42-03,456.0
89,results/models/policy_gradient__2020-11-26_23-21-52,488.0
90,results/models/policy_gradient__2020-11-25_19-25-24,200.0
91,results/models/policy_gradient__2020-11-25_21-22-46,232.0
92,results/models/policy_gradient__2020-11-25_23-19-21,264.0
93,results/models/policy_gradient__2020-11-26_01-05-27,296.0
94,results/models/policy_gradient__2020-11-26_12-14-07,328.0
95,results/models/policy_gradient__2020-11-26_14-19-15,360.0
96,results/models/policy_gradient__2020-11-26_17-31-02,392.0
97,results/models/policy_gradient__2020-11-26_20-03-25,424.0
98,results/models/policy_gradient__2020-11-26_21-42-03,456.0
99,results/models/policy_gradient__2020-11-26_23-21-52,488.0
100,results/models/policy_gradient__2020-11-25_19-25-24,200.0
101,results/models/policy_gradient__2020-11-25_21-22-46,232.0
102,results/models/policy_gradient__2020-11-25_23-19-21,264.0
103,results/models/policy_gradient__2020-11-26_01-05-27,296.0
104,results/models/policy_gradient__2020-11-26_12-14-07,328.0
105,results/models/policy_gradient__2020-11-26_14-19-15,360.0
106,results/models/policy_gradient__2020-11-26_17-31-02,392.0
107,results/models/policy_gradient__2020-11-26_20-03-25,424.0
108,results/models/policy_gradient__2020-11-26_21-42-03,456.0
109,results/models/policy_gradient__2020-11-26_23-21-52,488.0
110,results/models/policy_gradient__2020-11-25_19-25-24,200.0
111,results/models/policy_gradient__2020-11-25_21-22-46,232.0
112,results/models/policy_gradient__2020-11-25_23-19-21,264.0
113,results/models/policy_gradient__2020-11-26_01-05-27,296.0
114,results/models/policy_gradient__2020-11-26_12-14-07,328.0
115,results/models/policy_gradient__2020-11-26_14-19-15,360.0
116,results/models/policy_gradient__2020-11-26_17-31-02,392.0
117,results/models/policy_gradient__2020-11-26_20-03-25,424.0
118,results/models/policy_gradient__2020-11-26_21-42-03,456.0
119,results/models/policy_gradient__2020-11-26_23-21-52,488.0
120,results/models/policy_gradient__2020-11-25_19-25-24,200.0
121,results/models/policy_gradient__2020-11-25_21-22-46,232.0
122,results/models/policy_gradient__2020-11-25_23-19-21,264.0
123,results/models/policy_gradient__2020-11-26_01-05-27,296.0
124,results/models/policy_gradient__2020-11-26_12-14-07,328.0
125,results/models/policy_gradient__2020-11-26_14-19-15,360.0
126,results/models/policy_gradient__2020-11-26_17-31-02,392.0
127,results/models/policy_gradient__2020-11-26_20-03-25,424.0
128,results/models/policy_gradient__2020-11-26_21-42-03,456.0
129,results/models/policy_gradient__2020-11-26_23-21-52,488.0
130,results/models/policy_gradient__2020-11-25_19-25-24,200.0
131,results/models/policy_gradient__2020-11-25_21-22-46,232.0
